,Country,ozone_pollution_deaths_1990,ozone_pollution_deaths_2019,ozone_percent_change,ozone_abs_change,particulate_matter_deaths_1990,particulate_matter_deaths_2019,particulate_percent_change,particulate_abs_change,household_air_deaths_1990,household_air_deaths_2019,household_percent_change,household_abs_change,ozone_offender,particulate_offender,household_offender,area_change_perc,forest_offender,mortality_rate,water_offender,degraded_land_perc,desert_offender
108,Tunisia,2.39,1.98,-0.17154811715481177,-0.41000000000000014,67.01,63.43,-0.05342486196090146,-3.5800000000000054,21.05,0.18,-0.9914489311163895,-20.87,0,0,0,0.22,0,3.13,0,13,0
109,Turkey,5.22,3.62,-0.30651340996168575,-1.5999999999999996,73.8,50.07,-0.32154471544715446,-23.729999999999997,24.51,0.29,-0.9881680946552428,-24.220000000000002,0,0,0,0.53,0,2.48,0,9,0
110,Turkmenistan,4.15,0.97,-0.7662650602409639,-3.1800000000000006,106.06,97.59,-0.07986045634546479,-8.469999999999999,2.33,0.14,-0.9399141630901288,-2.19,0,0,0,0.0,0,5.66,0,22,0
111,Uganda,1.79,2.05,0.14525139664804465,0.2599999999999998,11.08,26.07,1.3528880866425994,14.99,207.4,125.34,-0.39566055930568944,-82.06,0,0,0,-1.61,1,28.09,0,22,0
112,Ukraine,4.26,0.7,-0.835680751173709,-3.5599999999999996,82.38,56.72,-0.3114833697499393,-25.659999999999997,13.27,3.59,-0.7294649585531274,-9.68,0,0,0,0.15,0,2.34,0,25,0
113,United Arab Emirates,6.06,4.26,-0.29702970297029707,-1.7999999999999998,166.71,100.65,-0.3962569731869714,-66.06,1.02,0.0,-1.0,-1.02,0,0,0,0.0,0,0.85,0,1,0
114,Uruguay,0.36,0.59,0.6388888888888888,0.22999999999999998,23.37,12.92,-0.44715447154471544,-10.450000000000001,10.5,0.92,-0.9123809523809524,-9.58,0,0,0,1.61,0,4.44,0,26,0
115,Uzbekistan,4.12,2.07,-0.4975728155339806,-2.0500000000000003,76.94,176.45,1.2933454639979205,99.50999999999999,67.17,21.38,-0.681703141283311,-45.790000000000006,0,1,0,0.97,0,2.9,0,29,0
116,Venezuela,0.62,0.64,0.032258064516129004,0.020000000000000018,47.93,44.16,-0.07865637387857294,-3.770000000000003,3.72,0.31,-0.9166666666666666,-3.41,0,0,0,-0.27,0,5.17,0,15,0
117,Vietnam,1.14,1.75,0.5350877192982457,0.6100000000000001,24.36,44.81,0.8394909688013137,20.450000000000003,152.81,40.38,-0.7357502781231595,-112.43,0,0,0,0.9,0,6.92,0,31,0
118,World,6.0,4.7,-0.21666666666666667,-1.2999999999999998,53.15,52.67,-0.009031044214487194,-0.4799999999999969,100.08,30.15,-0.6987410071942446,-69.93,0,1,0,-0.12,0,18.21,0,20,0
119,Zambia,1.68,1.99,0.18452380952380953,0.31000000000000005,20.1,38.62,0.9213930348258703,18.519999999999996,214.93,111.11,-0.48304099008979673,-103.82000000000001,0,0,0,-0.41,0,35.77,0,7,0
120,Zimbabwe,0.73,1.44,0.9726027397260273,0.71,24.67,34.4,0.39440616132955,9.729999999999997,144.22,130.51,-0.09506309804465407,-13.710000000000008,0,0,0,-0.26,0,36.2,0,36,1
